PAYMILL_field_field_field_invalid_currency,"Invalid currency for 3-D Secure"
PAYMILL_field_invalid_iban,"Invalid IBAN"
PAYMILL_field_invalid_bic,"Invalid BIC"
PAYMILL_field_invalid_country,"Invalid country for sepa transactions"
PAYMILL_field_invalid_bank_data,"Invalid bank data"
paymill_send_invoice_mail,"Rechnungsemail senden"
paymill_Amount,Amount
paymill_accepted_currency,"Accepted currencies"
paymill_opt_Enabled,Activate
paymill_opt_Countries,"Accepted countries"
paymill_Activate_Debugging,"Activate debugging"
paymill_fc_active,"Enable fast checkout"
paymill_Activate_Logging,"Activate logging."
paymill_preAuth_active,"Preauthorize transactions during checkout. Charge will be performed when generating invoices."
paymill_private_key_comment,"You can find your private key in the PAYMILL cockpit."
paymill_Private_Key,"Private key"
paymill_public_key_comment,"You can find your public key in the PAYMILL cockpit."
paymill_Public_Key,"Public key"
paymill_Show_Label,"Display PAYMILL logo during checkout."
paymill_opt_Sort,Sequence
paymill_token_tolerace_tooltip,"Amount that will be surcharged when generating the PAYMILL Token. This is to avoid deviations of 3-D secure."
paymill_token_tolerace_comment,"Amount that will be surcharged when generating the PAYMILL Token. This is to avoid deviations of 3-D secure."
paymill_token_tolerace,"Token tolerance value"
paymill_Currency,Currency
paymill_error_text_invalid_cvc,"Invalid CVC"
PAYMILL_field_invalid_card_cvc,"Invalid CVC"
paymill_error_text_invalid_holder_cc,"Please enter the card holder's name."
PAYMILL_field_invalid_card_holder,"Please enter the card holder's name."
paymill_error_text_invalid_number_cc,"Please enter a valid credit card number."
PAYMILL_field_invalid_card_number,"Please enter a valid credit card number."
paymill_error_text_invalid_expdate,"Invalid expiration date"
PAYMILL_field_invalid_bank_code,"Please enter a valid direct debit bank code."
paymill_error_text_invalid_bankcode,"Please enter a valid direct debit bank code."
paymill_error_text_invalid_holder_elv,"Please enter the name of the direct debit account holder"
PAYMILL_field_invalid_account_holder,"Please enter the name of the direct debit account holder"
paymill_error_text_invalid_number_elv,"Please enter a valid direct debit account number"
PAYMILL_field_invalid_account_number,"Please enter a valid direct debit account number"
paymill_error_text_invalid_payment,"Payment method could not be identified. Please contact support."
paymill_dialog_confirm,"Are you sure?"
paymill_slogan,"Secure credit card payments powered by"
paymill_slogan_elv,"Direct debit powered by"
paymill_credit_card,"Credit card"
paymill_creditcard,"Credit card"
paymill_3ds_cancel,Cancel
paymill_Cvc,CVC
paymill_Holder,"Card holder"
paymill_Number,"Card number"
paymill_Date,"Valid until"
paymill_cvc_tooltip,"The CVV code or CVC is a security feature of credit cards. It usually is a  three to four digit long number. On VISA credit cards, it is called CVV code. The same code can be found on MasterCard credit cards - where however it is called CVC. CVC is an abbreviation for ""Card Validation Code"". CVV code on the other hand is an abbreviation for ""Card Validation Value code"". Similar to MasterCard and Visa, other brands such as Diners Club, Discover and JCB contain a three digit number that can usually be found on the back of the credit card. MAESTRO cards exist with and without a three digit CVV. In case a MAESTRO card without a CVV will be used, it is possible to enter 000 to the form instead. American Express uses the CID (card identification number). The CID is a four digit number that can usually be found on the front of the card, top right from the credit card number. "
paymill_directdebit,"Direct debit"
paymill_direct_debit,"Direct debit"
paymill_bankcode,"Bank code"
paymill_account,"Account number"
paymill_backend_log_entry_date,"Date of entry"
paymill_backend_log_dev_info,"Inform developer"
paymill_backend_log_id,Id
paymill_backend_log_merchant_info,"Merchant information"
paymill_log,"PAYMILL log"
paymill_backend_log_version,"Module version"
paymill_credit_card_label,"PAYMILL credit card payments"
paymill_direct_debit_label,"PAYMILL direct debit"
paymill_activate_sepa,"Show SEPA form"
paymill_Basic_Setting,"Paymill Basic Settings"
paymill_iban,IBAN
paymill_bic,BIC
paymill_public_key_tooltip,"Please enter a valid publickey"
paymill_private_key_tooltip,"Please enter a valid privatekey"
paymill_error_text_invalid_token,"The following error occurred:"
paymill_error_text_no_entry_selected,"Please select an entry"
paymill_action_delete,"Delete entry"
paymill_backend_log_dev_info_additional,"Additional Developer Information"
paymill_checkout_generating_invoice,"Invoice is beeing generated"
paymill_log_action_success,"Action successful"
paymill_checkout_desc,"Description text"
"General undefined response.","General undefined response."
"Still waiting on something.","Still waiting on something."
"General success response.","General success response."
"General problem with data.","General problem with data."
"General problem with payment data.","General problem with payment data."
"Problem with credit card data.","Problem with credit card data."
"Problem with cvv.","Problem with cvv."
"Card expired or not yet valid.","Card expired or not yet valid."
"Limit exceeded.","Limit exceeded."
"Card invalid.","Card invalid."
"Expiry date not valid.","Expiry date not valid."
"Credit card brand required.","Credit card brand required."
"Problem with bank account data.","Problem with bank account data."
"Bank account data combination mismatch.","Bank account data combination mismatch."
"User authentication failed.","User authentication failed."
"Problem with 3d secure data.","Problem with 3d secure data."
"Currency / amount mismatch","Currency / amount mismatch"
"Problem with input data.","Problem with input data."
"Amount too low or zero.","Amount too low or zero."
"Usage field too long.","Usage field too long."
"Currency not allowed.","Currency not allowed."
"General problem with backend.","General problem with backend."
"Country blacklisted.","Country blacklisted."
"Technical error with credit card.","Technical error with credit card."
"Error limit exceeded.","Error limit exceeded."
"Card declined by authorization system.","Card declined by authorization system."
"Manipulation or stolen card.","Manipulation or stolen card."
"Card restricted.","Card restricted"
"Invalid card configuration data.","Invalid card configuration data."
"Technical error with bank account.","Technical error with bank account."
"Card blacklisted.","Card blacklisted."
"Technical error with 3D secure.","Technical error with 3D secure."
"Decline because of risk issues.","Decline because of risk issues."
"General timeout.","General timeout."
"Timeout on side of the acquirer.","Timeout on side of the acquirer."
"Risk management transaction timeout.","Risk management transaction timeout"
"Duplicate transaction.","Duplicate transaction."
PAYMILL_internal_server_error,"The communication with the psp failed."
PAYMILL_invalid_public_key,"The public key is invalid."
PAYMILL_invalid_payment_data,"Paymentmethod, card type currency or country not authorized"
PAYMILL_unknown_error,"Unknown Error"
PAYMILL_3ds_cancelled,"3-D Secure process has been canceled by the user"
PAYMILL_field_invalid_card_exp_year,"Invalid Expiry Year"
PAYMILL_field_invalid_card_exp_month,"Invalid Expiry Month"
PAYMILL_field_invalid_card_exp,"Credit Card not valid"
PAYMILL_field_invalid_amount_int,"Missing amount for 3-D Secure"
PAYMILL_field_field_invalid_amount,"Missing amount for 3-D Secure"
PAYMILL_field_field_field_invalid_currency,"Invalid currency for 3-D Secure"
PAYMILL_field_invalid_iban,"Invalid IBAN"
PAYMILL_field_invalid_bic,"Invalid BIC"
PAYMILL_field_invalid_country,"Invalid country for sepa transactions"
PAYMILL_field_invalid_bank_data,"Invalid bank data"
paymill_send_invoice_mail,"Send invoice mail"
paymill_Amount,Cantidad
paymill_accepted_currency,"Monedas aceptadas"
paymill_opt_Enabled,Activar
paymill_opt_Countries,"Países aceptados"
paymill_Activate_Debugging,"Activar debugging"
paymill_fc_active,"Activar la compra rápida"
paymill_Activate_Logging,"Activar el registro"
paymill_preAuth_active,"Autorizar previamente las transacciones durante el proceso de compra. Los cargos se llevarán a cabo una vez generadas las facturas."
paymill_private_key_comment,"Puedes encontrar tu clave privada en el Cockpit de PAYMILL"
paymill_Private_Key,"Clave privada"
paymill_public_key_comment,"Puede encontrar su clave pública en el Cockpit de PAYMILL"
paymill_Public_Key,"Clave pública"
paymill_Show_Label,"Mostrar el logo de PAYMILL durante el proceso de compra."
paymill_opt_Sort,Secuencia
paymill_token_tolerace_tooltip,"Cantidad adicional que se cargará cuando se genere el Token de PAYMILL. Esto es para evitar desviaciones en el 3D Secure"
paymill_token_tolerace_comment,"Cantidad adicional que se cargará cuando se genere el Token de PAYMILL. Esto es para evitar desviaciones en el 3D Secure"
paymill_token_tolerace,"Tolerancia del Token"
paymill_Currency,Moneda
paymill_error_text_invalid_cvc,"CVC inválido"
PAYMILL_field_invalid_card_cvc,"CVC inválido"
paymill_error_text_invalid_holder_cc,"Por favor, introduce el nombre del titular de la tarjeta"
PAYMILL_field_invalid_card_holder,"Por favor, introduce el nombre del titular de la tarjeta"
paymill_error_text_invalid_number_cc,"Por favor, introduce un número válido de tarjeta de crédito."
PAYMILL_field_invalid_card_number,"Por favor, introduce un número válido de tarjeta de crédito."
paymill_error_text_invalid_expdate,"Fecha de expiración inválida"
PAYMILL_field_invalid_bank_code,"Por favor, introduce un código bancario válido de domiciliación bancaria."
paymill_error_text_invalid_bankcode,"Por favor, introduce un código bancario válido de domiciliación bancaria."
paymill_error_text_invalid_holder_elv,"Por favor, introduce el nombre del titular de la cuenta para la domiciliación bancaria."
PAYMILL_field_invalid_account_holder,"Por favor, introduce el nombre del titular de la cuenta para la domiciliación bancaria."
paymill_error_text_invalid_number_elv,"Por favor, introduce un número válido de la cuenta para la domiciliación bancaria."
PAYMILL_field_invalid_account_number,"Por favor, introduce un número válido de la cuenta para la domiciliación bancaria."
paymill_error_text_invalid_payment,"El método de pago no se ha podido identificar. Por favor, contacta con nuestro equipo de soporte."
paymill_dialog_confirm,"¿Estás seguro?"
paymill_slogan,"Pagos seguros con tarjeta de crédito gestionados por"
paymill_slogan_elv,"Domiciliación bancaria gestionada por"
paymill_credit_card,"Tarjeta de crédito"
paymill_creditcard,"Tarjeta de crédito"
paymill_3ds_cancel,Cancelar
paymill_Cvc,"Código CVC"
paymill_Holder,"Titular de la tarjeta"
paymill_Number,"Número de tarjeta"
paymill_Date,"Válida hasta"
paymill_cvc_tooltip,"El código CVV o CVC es una medida de seguridad de las tarjetas de crédito. Normalmente es un número de tres a cuatro dígitos de longitud. En las tarjetas de crédito VISA, se le llama código CVV. Se puede encontrar este mismo código en las tarjetas de crédito MasterCard -donde se le llama CVC. CVC es la abreviatura de ""código de validez de la tarjeta"". El código CVV, por otro lado, es la abreviatura de ""código de valor de verificación de la tarjeta"". Parecidas a MasterCard y Visa, otras tarjetas como Diners Club, Discover y JCB contienen un número de tres dígitos que se encuentra normalmente en el reverso de la tarjeta de crédito. Las tarjetas MAESTRO pueden tener o no el código CVV de tres dígitos. En caso de usar una tarjeta MAESTRO sin CVV, puede introducir 000 en el formulario en su lugar. American Express usa el CID (número de identificación de la tarjeta). El CID es un número de cuatro dígitos que normalmente se encuentra en el anverso de la tarjeta, arriba a la derecha del número de la tarjeta de crédito."
paymill_directdebit,"Domiciliación bancaria"
paymill_direct_debit,"Domiciliación bancaria"
paymill_bankcode,"Código bancario"
paymill_account,"Número de cuenta"
paymill_backend_log_entry_date,"Fecha de registro"
paymill_backend_log_dev_info,"Desarrollador de informes"
paymill_backend_log_id,Identificación
paymill_backend_log_merchant_info,"Información del comerciante"
paymill_log,"Registro de PAYMILL"
paymill_backend_log_version,"Versión del módulo"
paymill_credit_card_label,"Pagos con tarjeta de crédito PAYMILL"
paymill_direct_debit_label,"Pagos con dedomiciliación bancaria PAYMILL"
paymill_activate_sepa,"Mostrar solicitud SEPA"
paymill_Basic_Setting,"Configuración Básica Paymill"
paymill_iban,IBAN
paymill_bic,BIC
paymill_public_key_tooltip,"Por favor, introduzca una clave pública válida"
paymill_private_key_tooltip,"Por favor, introduzca una clave privada válida"
paymill_error_text_invalid_token,"El siguiente error ha ocurrido:"
paymill_error_text_no_entry_selected,"Por favor, seleccione una entrada"
paymill_action_delete,"Borrar entrada"
paymill_backend_log_dev_info_additional,"Información Adicional del Desarrollador"
paymill_checkout_generating_invoice,"Se está generando la factura"
paymill_log_action_success,"Acción correcta"
paymill_checkout_desc,"Texto descriptivo"
"General undefined response.","General undefined response."
"Still waiting on something.","Still waiting on something."
"General success response.","General success response."
"General problem with data.","General problem with data."
"General problem with payment data.","General problem with payment data."
"Problem with credit card data.","Problem with credit card data."
"Problem with cvv.","Problem with cvv."
"Card expired or not yet valid.","Card expired or not yet valid."
"Limit exceeded.","Limit exceeded."
"Card invalid.","Card invalid."
"Expiry date not valid.","Expiry date not valid."
"Credit card brand required.","Credit card brand required."
"Problem with bank account data.","Problem with bank account data."
"Bank account data combination mismatch.","Bank account data combination mismatch."
"User authentication failed.","User authentication failed."
"Problem with 3d secure data.","Problem with 3d secure data."
"Currency / amount mismatch","Currency / amount mismatch"
"Problem with input data.","Problem with input data."
"Amount too low or zero.","Amount too low or zero."
"Usage field too long.","Usage field too long."
"Currency not allowed.","Currency not allowed."
"General problem with backend.","General problem with backend."
"Country blacklisted.","Country blacklisted."
"Technical error with credit card.","Technical error with credit card."
"Error limit exceeded.","Error limit exceeded."
"Card declined by authorization system.","Card declined by authorization system."
"Manipulation or stolen card.","Manipulation or stolen card."
"Card restricted.","Card restricted"
"Invalid card configuration data.","Invalid card configuration data."
"Technical error with bank account.","Technical error with bank account."
"Card blacklisted.","Card blacklisted."
"Technical error with 3D secure.","Technical error with 3D secure."
"Decline because of risk issues.","Decline because of risk issues."
"General timeout.","General timeout."
"Timeout on side of the acquirer.","Timeout on side of the acquirer."
"Risk management transaction timeout.","Risk management transaction timeout"
"Duplicate transaction.","Duplicate transaction."
PAYMILL_internal_server_error,"The communication with the psp failed."
PAYMILL_invalid_public_key,"The public key is invalid."
PAYMILL_invalid_payment_data,"Paymentmethod, card type currency or country not authorized"
PAYMILL_unknown_error,"Unknown Error"
PAYMILL_3ds_cancelled,"3-D Secure process has been canceled by the user"
PAYMILL_field_invalid_card_exp_year,"Invalid Expiry Year"
PAYMILL_field_invalid_card_exp_month,"Invalid Expiry Month"
PAYMILL_field_invalid_card_exp,"Credit Card not valid"
PAYMILL_field_invalid_amount_int,"Missing amount for 3-D Secure"
PAYMILL_field_field_invalid_amount,"Missing amount for 3-D Secure"
PAYMILL_field_field_field_invalid_currency,"Invalid currency for 3-D Secure"
PAYMILL_field_invalid_iban,"Invalid IBAN"
PAYMILL_field_invalid_bic,"Invalid BIC"
PAYMILL_field_invalid_country,"Invalid country for sepa transactions"
PAYMILL_field_invalid_bank_data,"Invalid bank data"
paymill_send_invoice_mail,"Enviar factura por correo"
paymill_Amount,Montant
paymill_accepted_currency,"Devises acceptées"
paymill_opt_Enabled,Activer
paymill_opt_Countries,"Pays acceptés"
paymill_Activate_Debugging,"Activer le débogage"
paymill_fc_active,"Activer le paiement rapide."
paymill_Activate_Logging,"Activer la journalisation."
paymill_preAuth_active,"Préautoriser les transactions lors du paiement. Le montant sera prélevé lors de la génération des factures."
paymill_private_key_comment,"Vous trouverez votre clé privée dans le cockpit PAYMILL."
paymill_Private_Key,"Clé privée"
paymill_public_key_comment,"Vous trouverez votre clé publique dans le cockpit PAYMILL."
paymill_Public_Key,"Clé publique"
paymill_Show_Label,"Afficher l'étiquette PAYMILL lors du paiement."
paymill_opt_Sort,Séquence
paymill_token_tolerace_tooltip,"Une somme vous sera prélevée lors de la génération des crédits PAYMILL, afin d'éviter les écarts par rapport à la sécurité 3-D."
paymill_token_tolerace_comment,"Une somme vous sera prélevée lors de la génération des crédits PAYMILL, afin d'éviter les écarts par rapport à la sécurité 3-D."
paymill_token_tolerace,"Valeur de tolérance des crédits"
paymill_Currency,Devise
paymill_error_text_invalid_cvc,"CVC invalide"
PAYMILL_field_invalid_card_cvc,"CVC invalide"
paymill_error_text_invalid_holder_cc,"Veuillez saisir le nom du titulaire de la carte."
PAYMILL_field_invalid_card_holder,"Veuillez saisir le nom du titulaire de la carte."
paymill_error_text_invalid_number_cc,"Veuillez saisir un numéro de carte de crédit valide."
PAYMILL_field_invalid_card_number,"Veuillez saisir un numéro de carte de crédit valide."
paymill_error_text_invalid_expdate,"Date d'expiration invalide"
PAYMILL_field_invalid_bank_code,"Veuillez saisir un code bancaire de débit direct valide."
paymill_error_text_invalid_bankcode,"Veuillez saisir un code bancaire de débit direct valide."
paymill_error_text_invalid_holder_elv,"Veuillez saisir le nom du titulaire du compte de débit direct"
PAYMILL_field_invalid_account_holder,"Veuillez saisir le nom du titulaire du compte de débit direct"
paymill_error_text_invalid_number_elv,"Veuillez saisir un numéro de compte de débit direct valide"
PAYMILL_field_invalid_account_number,"Veuillez saisir un numéro de compte de débit direct valide"
paymill_error_text_invalid_payment,"Le moyen de paiement n'a pas pu être identifié. Veuillez contacter l'assistance."
paymill_dialog_confirm,"Êtes-vous sûr ?"
paymill_slogan,"Paiements par carte de crédit sécurisés fonctionnant avec"
paymill_slogan_elv,"Débit direct fonctionnant avec"
paymill_credit_card,"Carte de crédit"
paymill_creditcard,"Carte de crédit"
paymill_3ds_cancel,Annuler
paymill_Cvc,CVC
paymill_Holder,"Titulaire de la carte"
paymill_Number,"Numéro de carte"
paymill_Date,"Valable jusqu'au"
paymill_cvc_tooltip,"Le code CVV ou CVC est une fonctionnalité de sécurité des cartes de crédit. Il se compose en général d'un nombre de trois à quatre chiffres. Sur les cartes de crédit VISA, il est appelé code CVV. On trouve le même code sur les cartes de crédit MasterCard, où il est appelé cependant CVC. CVC signifie « Card Validation Code » (« Code de validation de carte »). Le code CVV signifie quant à lui « Card Validation Value code » (« code de Valeur de validation de carte »). Similaires à MasterCard et Visa, les autres marques telles que Diners Club, Discover et JCB contiennent un nombre à trois chiffres que l'on retrouve généralement au dos de la carte de crédit. Les cartes MAESTRO existent avec et sans le CVV à trois chiffres. Si vous utilisez une carte MAESTRO sans CVV, vous pourrez saisir 000 dans le formulaire. American Express utilise le CID (card identification number - numéro d'identification de carte). Le CID est un nombre à quatre chiffres que l'on retrouve généralement à l'avant de la carte, en haut à droite du numéro de carte de crédit."
paymill_directdebit,"Débit direct"
paymill_direct_debit,"Débit direct"
paymill_bankcode,"Code bancaire"
paymill_account,"Numéro de compte"
paymill_backend_log_entry_date,"Date de saisie"
paymill_backend_log_dev_info,"Informer le développeur"
paymill_backend_log_id,Id
paymill_backend_log_merchant_info,"Information sur le marchand"
paymill_log,"Journal PAYMILL"
paymill_backend_log_version,"Version du module"
paymill_credit_card_label,"Paiements par carte de crédit PAYMILL"
paymill_direct_debit_label,"Débit direct PAYMILL"
paymill_activate_sepa,"Montrer le formulaire SEPA"
paymill_Basic_Setting,"Paramètres de base pour Paymill"
paymill_iban,IBAN
paymill_bic,BIC
paymill_public_key_tooltip,"Veuillez entrer une clé publique valide"
paymill_private_key_tooltip,"Veuillez entrer une clé privée valide"
paymill_error_text_invalid_token,"L'erreur suivante est survenue :"
paymill_error_text_no_entry_selected,"Veuillez sélectionner une entrée"
paymill_action_delete,"Supprimer la saisie"
paymill_backend_log_dev_info_additional,"Informations supplémentaires sur le développeur"
paymill_checkout_generating_invoice,"La facture est en cours de création"
paymill_log_action_success,"Action réussie"
paymill_checkout_desc,"Texte de description"
"General undefined response.","General undefined response."
"Still waiting on something.","Still waiting on something."
"General success response.","General success response."
"General problem with data.","General problem with data."
"General problem with payment data.","General problem with payment data."
"Problem with credit card data.","Problem with credit card data."
"Problem with cvv.","Problem with cvv."
"Card expired or not yet valid.","Card expired or not yet valid."
"Limit exceeded.","Limit exceeded."
"Card invalid.","Card invalid."
"Expiry date not valid.","Expiry date not valid."
"Credit card brand required.","Credit card brand required."
"Problem with bank account data.","Problem with bank account data."
"Bank account data combination mismatch.","Bank account data combination mismatch."
"User authentication failed.","User authentication failed."
"Problem with 3d secure data.","Problem with 3d secure data."
"Currency / amount mismatch","Currency / amount mismatch"
"Problem with input data.","Problem with input data."
"Amount too low or zero.","Amount too low or zero."
"Usage field too long.","Usage field too long."
"Currency not allowed.","Currency not allowed."
"General problem with backend.","General problem with backend."
"Country blacklisted.","Country blacklisted."
"Technical error with credit card.","Technical error with credit card."
"Error limit exceeded.","Error limit exceeded."
"Card declined by authorization system.","Card declined by authorization system."
"Manipulation or stolen card.","Manipulation or stolen card."
"Card restricted.","Card restricted"
"Invalid card configuration data.","Invalid card configuration data."
"Technical error with bank account.","Technical error with bank account."
"Card blacklisted.","Card blacklisted."
"Technical error with 3D secure.","Technical error with 3D secure."
"Decline because of risk issues.","Decline because of risk issues."
"General timeout.","General timeout."
"Timeout on side of the acquirer.","Timeout on side of the acquirer."
"Risk management transaction timeout.","Risk management transaction timeout"
"Duplicate transaction.","Duplicate transaction."
PAYMILL_internal_server_error,"The communication with the psp failed."
PAYMILL_invalid_public_key,"The public key is invalid."
PAYMILL_invalid_payment_data,"Paymentmethod, card type currency or country not authorized"
PAYMILL_unknown_error,"Unknown Error"
PAYMILL_3ds_cancelled,"3-D Secure process has been canceled by the user"
PAYMILL_field_invalid_card_exp_year,"Invalid Expiry Year"
PAYMILL_field_invalid_card_exp_month,"Invalid Expiry Month"
PAYMILL_field_invalid_card_exp,"Credit Card not valid"
PAYMILL_field_invalid_amount_int,"Missing amount for 3-D Secure"
PAYMILL_field_field_invalid_amount,"Missing amount for 3-D Secure"
PAYMILL_field_field_field_invalid_currency,"Invalid currency for 3-D Secure"
PAYMILL_field_invalid_iban,"Invalid IBAN"
PAYMILL_field_invalid_bic,"Invalid BIC"
PAYMILL_field_invalid_country,"Invalid country for sepa transactions"
PAYMILL_field_invalid_bank_data,"Invalid bank data"
paymill_send_invoice_mail,"Envoyer une facture par courriel"
